episode_id,asset_type,file,sha256,width,height
HC20260810-006,article-card,A02.png,cd83a2e8c56ddb62ae8ddea1f12af676af31ced7adff28b7805cac0f02ce0509,1080,1920
HC20260810-006,article-card,A03.png,b6bcd185f065d54b331d4eb803cd25bec9446ff5f2c68a9716bcb30c18fb46d4,1080,1920
HC20260810-006,article-card,A04.png,9bcd95a78457f8d51c7d43753a0634362ba61f2dcf59ae68aa34c88a55359f33,1080,1920
HC20260810-006,article-card,A05.png,6feae30f7337f04e18eb5920bc794093cc8199c3cd9c8744a5e0e229f0d36447,1080,1920
HC20260810-006,article-card,A06.png,673520d7d6a1501760cb50d0029bcd95fa608b8b6c6834377f50edb8597dac4b,1080,1920
HC20260810-006,article-card,A07.png,41daedb247f329a958269523d0abbae23438af922f923038408785a9c6b2aef1,1080,1920
HC20260810-006,cover,cover-v01.png,f94b0ef44981c749d423c15b72361603ce3d2d4d593043c881103bc1aaa8c2ce,1080,1920
HC20260810-007,article-card,A01.png,85bb2ed8a21e106dcac0c98f0d475076ac3f4c4c8ca2c47858c475b058f39115,1080,1920
HC20260810-007,article-card,A02.png,cf7d31069f292addbbb080a6a44799b76e0297897c5bfae4c57d3280390e0731,1080,1920
HC20260810-007,article-card,A03.png,9499456c349a2f24106653646d1624d68a99542e361a0da524ac890103178a95,1080,1920
HC20260810-007,article-card,A04.png,9cd161dc829c676720fc39a688575a551110db5642c3f8f2ffea7f354b3a66e1,1080,1920
HC20260810-007,article-card,A05.png,2cbb02a538f5d6c4941360e310d9d6d80e128b8745bce2828ca7a6de9601a491,1080,1920
HC20260810-007,article-card,A06.png,6534d2123493e235ee2269f26d4fe83b85f8a177f52fa6e1e90546849652e64b,1080,1920
HC20260810-007,article-card,A07.png,2a83c1cf56e8c702c57c4c686f0312740c45324c2c995607c8c8e23da1afea80,1080,1920
HC20260810-007,cover,cover-v01.png,6ddc1c75a1a4c8b6ba659db085638d6df6c4d7ac0bca6b8c20ec35ac66513f4a,1080,1920
HC20260810-008,article-card,A01.png,3423d29a2abc5024a0a199cbe8b7837793685c507d18f707681a2e845d782517,1080,1920
HC20260810-008,article-card,A02.png,fab32155f5f2e6e86c0d3be4230843181364dc13758bd407b20712f61889654d,1080,1920
HC20260810-008,article-card,A03.png,67d28305f7570e7941a077e3dc91c6dd3438b4da574cc4422c55c169ee1938b5,1080,1920
HC20260810-008,article-card,A04.png,44a781b634923ebd5fd6df5a7ddf3638956333ae31334af858a69887636ca64f,1080,1920
